id,path,no_cotizacion,fecha,producto,sku,descripcion,unidades,precio_p,precio_unitario,precio_cu,precio_final
8/Cotización V-Z1-51,2021/Cotización V-Z1-51,Cotización V-Z1-51,14/09/2021,Fuente de Poder,XZPS650B,"Fuente De Poder Xzeal Xz650, 650w, Certificado 80 Plus Bronce, Pfc Activo, Smart Fan 120mm, Atx 20+4 Pin (xzps650b)",1,1200,1200,1242,1242
9/Cotización V-Z1-51,2021/Cotización V-Z1-51,Cotización V-Z1-51,14/09/2021,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,1,400,400,400,400
1/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,Procesador,BX8070811700K,"Procesador Intel Core I7-11700k, Socket Lga 1200, 3.6 Ghz, 16 Mb, Numero De Nucleos 8, Filamentos 16",1,6627.71,7621.87,7621.87,7621.87
2/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,Motherboard,PRIME H810M-A WIFI,"Tarjeta Madre Asus Prime Z590-p Wifi Atx, Intel Z590, Lga 1200, 4xddr4 Dimm Slots, 1xdp, 1xhdmi, Intel Wifi 6, Pcie 4.0, Bluetooth",1,3435.2,3950.48,3950.48,3950.48
3/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,GPU,ZT-B50700J-10P,"Zotac NVIDIA GeForce RTX 3080 Trinity Gaming LHR, 12GB 384-bit GDDR6X, PCI Express x16 4.0",1,31470.91,34618,34618,34618
4/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,RAM,AX4U360032G18I-DCBKD45G,"Ram Xpg Spectrix D45g Rgb, 16gb, Ddr4, 3600mhz, Pc4-28800, Cl18, Negro",2,1323.58,3044.23,1522.12,3044.23
5/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,SSD,SGAMMIXS50C-1000G-CS,"Unidad De Estado Solido Xpg Gammix S50 Lite 1tb, Ssd M.2, Pcie Gen4x4, Lectura 3900 Mb/s, Escritura 3200 Mb/s",1,2152.68,2475.58,2475.58,2475.58
6/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,Disipador,,Disipador Para Procesador Yeyian Storm 1200 Rgb,1,383.21,440.69,440.69,440.69
7/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,Gabinete,,"Gabinete Ocelot Gaming Escritorio, T. Madre Atx, Micro Atx, Mini-itx, Ventana Lateral, Color Negro",1,983.84,1131.42,1131.42,1131.42
8/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,Fuente de Poder,,"Fuente De Poder Corsair Cx750f Rgb, 80 Plus Bronze, 750w, 120mm, 24-pin Atx, 4xsata, 2xpcie 6+2 Pin, Ventilador 12 Cm",1,1742.6,2003.99,2003.99,2003.99
9/Cotización V-Z1-57,2021/Cotización V-Z1-57,Cotización V-Z1-57,07/10/2021,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,1,434.78,500,500,500
1/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Procesador,BX8070110900,"Procesador Intel Core I9 10900, S1200, 2.80 Ghz, 10 Core, 20mb Cache, 10th Generacion (bx8070110900)",1,7443.35,8559.85,8559.85,8559.85
2/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Motherboard,,"Tarjeta Madre Asus Prime B460m-a R2.0, Lga 1200 10gen 11gen, 4xddr4, 1xm.2, 1xpcie 4.0 3.0 X16, 2xpcie 3.0 X1, 1xdvi, 1xhdmi",1,1581.37,1818.58,1818.58,1818.58
3/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Mezclador,,"Behringer Xenyx Q802USB Mezclador premium de 8 entradas, 2 buses, con interfaz USB/audio",1,2000,2300,2300,2300
4/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,RAM,,"Memoria Ram Xpg Spectrix D60g 16gb, Ddr4, 3200mhz, Ax4u320016g16a-st60",1,1203.33,1383.83,1383.83,1383.83
5/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,SSD,SNVS/500G,"Ssd Kingston Technology Nv1 500gb, Lectura 2100 Mb/s, Escritura 1700 Mb/s, M.2",1,743,854.45,854.45,854.45
6/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,HDD,WD10EZEX,"Disco Duro Western Digital Blue, Serial Ata Iii 1tb. 7200 Rpm, 64 Mb Cache.3.5 """,1,675.36,776.66,776.66,776.66
7/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Disipador,RR-T4-18PK-R1,"Disipador De Calor Cooler Master Hyper T4 (rr-t4-18pk-r1), Skt Intel 2011, 1150, 1155, 775, Amd Fm2+, Fm2, Fm1, Am3,",1,414.27,476.41,476.41,476.41
8/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Gabinete,,"Gabinete Game Factor Csg502 Gaming Case, Atx, Micro Atx, Mini Itx, 3 Ventiladores 120mm Y 1 80mm, Bahias De Expansion 2x 2.5"" 2x 3.5"", Iluminacion Rgb",1,883.66,1016.21,1016.21,1016.21
9/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Fuente de Poder,CYLON 700W,"Fuente De Poder Aerocool Cylon 700w, 1x20+4 Pin, 1x4+4 Pin, 2xpcie 6+2p, 5xsata, 80 Plus Bronze, Rgb,",1,947.81,1089.98,1089.98,1089.98
10/Cotización V-Z1-63,2021/Cotización V-Z1-63,Cotización V-Z1-63,28/10/2021,Sistema operativo,Z1INSSO10PRO,Wiindos 10 Pro,1,434.78,500,500,500
1/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Procesador,BX8070110400,"Intel Core I5-10400f, Lga 1200 2.9ghz, 10th Gen, Cache De 12m",5,2539.54,11427.93,2285.59,11427.93
2/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Motherboard,PRIME H510M-A/CSM,"Tarjeta Madre Asus Prime H510m-e, Lga 1200",5,1644.22,8221.1,1644.22,8221.1
3/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Tarjeta video,,"Gigabyte GeForce GT 730, 2gb Ddr3 2048mb, 64bit, Soporta Pci-e 2.0 X8, Reloj De Nucleo 902mhz, Atx, Rev 3.0",5,1530.07,7650.35,1530.07,7650.35
4/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,RAM,CMW16GX4M1Z3600C18,"Corsair Vengeance Memoria 16gb, Ddr4, 3600mhz, Cl18",5,1128.33,6487.9,1297.58,6487.9
5/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,SSD,SNVS/500G,"Ssd Kingston Nv1 Nvme, 500gb, Lectura 2100 Mb/s, Escritura 1700 Mb/s, M.2",5,826.93,4754.85,950.97,4754.85
6/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Gabinete,,"Gabinete Acteck Delta Entry 210, Axt Mini Atx Mini Itx",5,561.48,3228.51,645.7,3228.51
7/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Fuente de Poder,,"Balam Rush Gr500, 500w, 1x20+4 Pines, 5xsata, 3xmolex, 2xp6+2, 1xp8(4+4), 80 Plus Bronce",5,734.94,4152.41,830.48,4152.41
8/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,5,434.78,2499.99,500,2499.99
9/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Monitor,,"Acer V206hql 19.5 Pulgadas, Widescreen Resolucion, 1600x900 P, 60hz, 1xhdmi, 1vga, Vesa,",10,2018.78,20187.8,2018.78,20187.8
10/Cotización V-Z1-64-2,2021/Cotización V-Z1-64-2,Cotización V-Z1-64-2,02/02/2022,Kit de teclado y mouse,TZ16COMB01-INA,"eclado Y Mouse Inalambrico Techzone Tz16comb01-ina, Conexion Rf, Teclado Numerico, Color Negro",10,198.64,1986.4,205.59,2055.92
